20,190
0,1,13
0,2,10
0,3,0
0,4,7
0,5,17
0,6,2
0,7,15
0,8,1
0,9,15
0,10,15
0,11,8
0,12,16
0,13,8
0,14,6
0,15,15
0,16,5
0,17,4
0,18,3
0,19,17
1,2,5
1,3,8
1,4,6
1,5,15
1,6,14
1,7,19
1,8,1
1,9,6
1,10,0
1,11,3
1,12,10
1,13,18
1,14,15
1,15,7
1,16,18
1,17,7
1,18,15
1,19,1
2,3,18
2,4,13
2,5,17
2,6,3
2,7,1
2,8,2
2,9,18
2,10,10
2,11,3
2,12,10
2,13,8
2,14,0
2,15,12
2,16,10
2,17,2
2,18,13
2,19,15
3,4,11
3,5,2
3,6,16
3,7,4
3,8,19
3,9,1
3,10,15
3,11,9
3,12,17
3,13,16
3,14,15
3,15,13
3,16,1
3,17,14
3,18,16
3,19,9
4,5,0
4,6,17
4,7,17
4,8,16
4,9,7
4,10,19
4,11,18
4,12,9
4,13,18
4,14,3
4,15,8
4,16,0
4,17,11
4,18,13
4,19,13
5,6,8
5,7,0
5,8,0
5,9,18
5,10,8
5,11,4
5,12,2
5,13,19
5,14,13
5,15,13
5,16,3
5,17,13
5,18,0
5,19,8
6,7,6
6,8,3
6,9,9
6,10,7
6,11,11
6,12,2
6,13,18
6,14,6
6,15,4
6,16,4
6,17,15
6,18,3
6,19,12
7,8,19
7,9,8
7,10,7
7,11,12
7,12,16
7,13,0
7,14,15
7,15,0
7,16,0
7,17,7
7,18,3
7,19,16
8,9,12
8,10,11
8,11,18
8,12,9
8,13,2
8,14,1
8,15,15
8,16,10
8,17,4
8,18,19
8,19,1
9,10,7
9,11,11
9,12,9
9,13,7
9,14,19
9,15,17
9,16,9
9,17,9
9,18,6
9,19,3
10,11,19
10,12,11
10,13,1
10,14,14
10,15,14
10,16,15
10,17,12
10,18,18
10,19,10
11,12,6
11,13,10
11,14,4
11,15,13
11,16,17
11,17,12
11,18,12
11,19,19
12,13,11
12,14,13
12,15,10
12,16,18
12,17,12
12,18,15
12,19,4
13,14,1
13,15,10
13,16,10
13,17,2
13,18,17
13,19,15
14,15,19
14,16,13
14,17,10
14,18,17
14,19,9
15,16,14
15,17,14
15,18,10
15,19,11
16,17,18
16,18,4
16,19,6
17,18,9
17,19,1
18,19,4
